timestamp,macModule,rssi,metre
2022-11-18 13:07:23.424,A8032A31204E,-68,35
2022-11-18 13:07:11.903,A8032A31204E,-74,35
2022-11-18 13:07:02.877,A8032A31204E,-77,35
2022-11-18 13:06:52.633,A8032A31204E,-74,35
2022-11-18 13:06:40.964,A8032A31204E,-69,35
2022-11-18 13:06:33.311,A8032A31204E,-71,35
2022-11-18 13:06:19.963,A8032A31204E,-75,35
2022-11-18 13:06:04.607,A8032A31204E,-71,35
2022-11-18 13:06:02.710,A8032A31204E,-71,35
2022-11-18 10:30:58.927,A8032A31204E,-80,36
2022-11-18 10:30:51.163,A8032A31204E,-79,36
2022-11-18 10:30:43.123,C45BBE37B346,-80,36
2022-11-18 10:30:37.675,A8032A31204E,-78,36
2022-11-18 10:30:12.698,A8032A31204E,-74,36
2022-11-18 10:30:10.814,A8032A31204E,-75,36
2022-11-18 10:29:55.507,A8032A31204E,-78,36
2022-11-18 10:29:49.705,A8032A31204E,-79,36
2022-11-18 10:29:40.122,A8032A31204E,-80,36
2022-11-18 10:29:09.391,A8032A31204E,-74,36
2022-11-18 10:29:01.530,A8032A31204E,-73,36
2022-11-18 10:28:49.971,A8032A31204E,-73,36
2022-11-18 10:28:40.383,A8032A31204E,-73,36
2022-11-18 10:28:09.719,A8032A31204E,-77,36
2022-09-23 14:41:55.000,A8032A31204E,-77,37
2022-09-23 14:41:53.271,C45BBE39F42A,-62,37
2022-09-23 14:41:53.006,A8032A31204E,-77,37
2022-09-23 14:41:43.554,C45BBE39F42A,-77,37
2022-09-23 14:41:39.367,A8032A31204E,-80,37
2022-09-23 14:41:33.835,C45BBE39F42A,-64,37
2022-09-23 14:41:33.524,A8032A31204E,-79,37
2022-09-23 14:41:22.269,C45BBE39F42A,-72,37
2022-09-23 14:41:21.815,A8032A31204E,-79,37
2022-09-23 14:41:12.038,A8032A31204E,-80,37
2022-09-23 14:41:10.467,C45BBE39F42A,-63,37
2022-09-23 14:41:02.677,C45BBE39F42A,-63,37
2022-09-23 14:40:58.418,A8032A31204E,-80,37
2022-09-23 14:40:52.948,C45BBE39F42A,-64,37
2022-09-23 14:40:52.566,A8032A31204E,-79,37
2022-09-23 14:40:43.222,C45BBE39F42A,-71,37
2022-09-23 14:40:42.797,A8032A31204E,-77,37
2022-09-23 14:40:33.506,C45BBE39F42A,-63,37
2022-09-23 14:40:27.101,A8032A31204E,-80,37
2022-09-23 14:40:23.732,C45BBE39F42A,-77,37
2022-09-23 14:40:19.160,A8032A31204E,-80,37
2022-09-23 14:40:10.108,C45BBE39F42A,-69,37
2022-09-23 14:40:09.354,A8032A31204E,-72,37
2022-09-23 14:40:02.353,C45BBE39F42A,-60,37
2022-11-18 10:34:55.385,A8032A31204E,-80,38
2022-11-18 10:33:04.067,C45BBE386952,-80,38
2022-11-18 10:33:03.577,A8032A31204E,-80,38
2022-11-18 10:32:58.250,C45BBE386952,-74,38
2022-11-18 10:32:57.311,C45BBE37B346,-79,38
2022-11-18 10:32:56.794,C45BBE39F56A,-74,38
2022-11-18 10:32:42.715,C45BBE386952,-77,38
2022-11-18 10:32:41.136,C45BBE39F56A,-79,38
2022-11-18 10:32:38.831,C45BBE386952,-78,38
2022-11-18 10:32:36.790,A8032A31204E,-79,38
2022-11-18 10:32:29.494,C45BBE39F56A,-76,38
2022-11-18 10:32:21.671,C45BBE39F56A,-75,38
2022-11-18 10:38:55.930,A8032A31204E,-75,39
2022-11-18 10:38:52.094,A8032A31204E,-77,39
2022-11-18 10:38:36.812,A8032A31204E,-80,39
2022-11-18 10:38:27.278,A8032A31204E,-79,39
2022-11-18 10:38:21.526,A8032A31204E,-80,39
2022-11-18 10:38:11.904,A8032A31204E,-78,39
2022-11-18 10:38:02.250,A8032A31204E,-76,39
2022-11-18 10:37:50.507,A8032A31204E,-77,39
2022-11-18 10:37:38.949,A8032A31204E,-79,39
2022-11-18 10:37:26.520,A8032A31204E,-80,39
2022-11-18 10:37:20.716,A8032A31204E,-73,39
2022-11-18 10:37:11.041,A8032A31204E,-75,39
2022-11-18 10:37:01.359,A8032A31204E,-76,39
2022-11-18 10:36:49.861,A8032A31204E,-77,39
2022-11-18 10:36:42.302,A8032A31204E,-75,39
2022-11-18 10:36:30.580,A8032A31204E,-70,39
2022-11-18 10:36:17.107,A8032A31204E,-79,39
2022-11-18 10:36:07.494,A8032A31204E,-79,39
2022-11-18 10:36:01.676,A8032A31204E,-80,39
2022-09-23 14:43:51.957,C45BBE39F42A,-72,40
2022-09-23 14:43:42.265,C45BBE39F42A,-71,40
2022-09-23 14:43:32.490,C45BBE39F42A,-71,40
2022-09-23 14:43:20.831,C45BBE39F42A,-80,40
2022-09-23 14:43:13.045,C45BBE39F42A,-71,40
2022-09-23 14:42:59.397,C45BBE39F42A,-71,40
2022-09-23 14:42:53.583,C45BBE39F42A,-71,40
