macModule,rssi,Time,Position (m)
A8032A31204E,-77,13:11:51.594000,37
C45BBE37B346,-76,13:11:52.831000,37
A8032A31204E,-79,13:11:53.567000,37
C45BBE386952,-80,13:12:05.314000,38
C45BBE39F56A,-80,13:12:06.048000,38
C45BBE37B346,-80,13:12:06.207000,38
A8032A31204E,-75,13:12:09.823000,38
A8032A31204E,-73,13:12:17.655000,38
C45BBE37B346,-74,13:12:29.083000,38
A8032A31204E,-75,13:12:31.101000,38
C45BBE37B346,-78,13:12:40.593000,38
A8032A31204E,-79,13:12:40.729000,38
A8032A31204E,-78,13:12:52.169000,38
A8032A31204E,-79,13:12:57.910000,38
C45BBE386952,-79,13:12:59.563000,38
C45BBE37B346,-72,13:12:59.706000,38
C45BBE39F56A,-80,13:13:00.661000,38
A8032A31204E,-71,13:13:13.228000,38
A8032A31204E,-75,13:13:20.982000,38
A8032A31204E,-73,13:13:30.461000,38
A8032A31204E,-80,13:13:38.101000,38
C45BBE386952,-75,13:13:47.703000,38
A8032A31204E,-68,13:13:53.527000,38
C45BBE39F56A,-75,13:14:01.048000,39
C45BBE386952,-79,13:14:01.242000,39
C45BBE37B346,-71,13:14:02.756000,39
A8032A31204E,-80,13:14:03.172000,39
C45BBE386952,-80,13:14:05.119000,39
C45BBE37B346,-79,13:14:10.397000,39
A8032A31204E,-75,13:14:13.051000,39
A8032A31204E,-79,13:14:20.862000,39
A8032A31204E,-70,13:14:32.347000,39
A8032A31204E,-77,13:14:40.082000,39
C45BBE37B346,-70,13:14:43.365000,39
C45BBE37B346,-71,13:14:45.278000,39
C45BBE386952,-75,13:14:45.826000,39
A8032A31204E,-70,13:14:53.529000,39
A8032A31204E,-78,13:15:03.350000,39
A8032A31204E,-76,13:15:13.173000,39
A8032A31204E,-73,13:15:20.998000,39
C45BBE37B346,-74,13:15:24.129000,39
A8032A31204E,-78,13:15:32.481000,39
C45BBE386952,-79,13:15:32.519000,39
A8032A31204E,-74,13:15:42.089000,39
C45BBE386952,-77,13:15:42.156000,39
C45BBE37B346,-79,13:15:43.334000,39
C45BBE37B346,-75,13:15:49.073000,39
A8032A31204E,-75,13:15:51.718000,39
C45BBE37B346,-79,13:16:00.516000,40
C45BBE386952,-79,13:16:01.450000,40
A8032A31204E,-80,13:16:03.229000,40
C45BBE39F56A,-78,13:16:07.180000,40
A8032A31204E,-66,13:16:10.822000,40
C45BBE37B346,-77,13:16:12.010000,40
