,,,,,,,,,,-78.0,,,,-76.0,-78.0,-73.0,-78.0,-72.0,-80.0,-78.0,-64.0,-66.0,-65.0,-61.0,-71.0,-75.0,-69.0,-77.0,-77.0,-70.0,-60.0,-69.0,-73.0,-64.0,-73.0,-74.0,-73.0,-69.0,-77.0,-73.0,,,,,
,,,,,,,,,,-80.0,,,,,-72.0,-76.0,,,-79.0,-73.0,-63.0,-60.0,-65.0,-77.0,-72.0,-76.0,-70.0,-78.0,-66.0,-67.0,-70.0,-65.0,-63.0,-73.0,-72.0,-77.0,-75.0,-77.0,-78.0,-73.0,,,,,
,,,,,,,,,,-79.0,,,,,,-75.0,,,-80.0,-77.0,-78.0,-58.0,-58.0,-72.0,-75.0,-73.0,-73.0,-77.0,-65.0,-69.0,-65.0,,-69.0,-70.0,,-75.0,-74.0,-74.0,-79.0,-77.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.0,-65.0,,-67.0,,,-80.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-58.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-63.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-62.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-60.0,,,,,,,,,,,,,,,
